0.1163 0.9772 -6.35 0.606 -6.8407e+26 3.69264e+25
0.10995 0.977806 -6.3662 0.469889 -6.8407e+26 3.69264e+25
0.0972176 0.978746 -6.39684 0.197393 -6.83997e+26 3.69216e+25
0.0844239 0.979141 -6.42397 -0.0757027 -6.83705e+26 3.69064e+25
0.071576 0.978989 -6.44758 -0.349567 -6.83413e+26 3.68768e+25
0.0586808 0.97829 -6.46767 -0.624371 -6.8312e+26 3.68328e+25
0.0457455 0.977041 -6.48422 -0.900286 -6.82826e+26 3.67745e+25
0.032777 0.975241 -6.4972 -1.17749 -6.82532e+26 3.67019e+25
0.0197826 0.972886 -6.50657 -1.45616 -6.82236e+26 3.66148e+25
0.00676951 0.969973 -6.51227 -1.73648 -6.81939e+26 3.65133e+25
-0.00625502 0.9665 -6.51424 -2.01865 -6.8164e+26 3.63974e+25
-0.0192835 0.962463 -6.5124 -2.30284 -6.81339e+26 3.62669e+25
-0.0323083 0.957857 -6.50666 -2.58927 -6.81036e+26 3.61219e+25
-0.0453216 0.952679 -6.49691 -2.87815 -6.8073e+26 3.59623e+25
-0.0583154 0.946923 -6.48304 -3.16968 -6.80422e+26 3.5788e+25
-0.0712815 0.940583 -6.46491 -3.46409 -6.8011e+26 3.55989e+25
-0.0842113 0.933655 -6.44237 -3.76162 -6.79795e+26 3.53949e+25
-0.0970961 0.926132 -6.41523 -4.0625 -6.79476e+26 3.51759e+25
-0.109927 0.918007 -6.3833 -4.367 -6.79153e+26 3.49419e+25
-0.122693 0.909273 -6.34638 -4.67538 -6.78825e+26 3.46926e+25
-0.135386 0.899922 -6.3042 -4.98792 -6.78492e+26 3.4428e+25
